time	neuronID	deltaRR	tissue	trialN	stim
5	9	3.64564345606959e-4	antenna	9	heat
6	9	0.00218738607364196	antenna	9	heat
7	9	0.00218738607364196	antenna	9	heat
8	9	0.00218738607364196	antenna	9	heat
9	9	0.00309879693765946	antenna	9	heat
10	9	0.00127597520962446	antenna	9	heat
11	9	0.00127597520962446	antenna	9	heat
12	9	0.0349981771782718	antenna	9	heat
13	9	0.0459351075464818	antenna	9	heat
14	9	0.0559606270506743	antenna	9	heat
15	9	0.0541378053226393	antenna	9	heat
16	9	0.0541378053226393	antenna	9	heat
17	9	0.0532263944586218	antenna	9	heat
18	9	0.0559606270506743	antenna	9	heat
19	9	0.0550492161866568	antenna	9	heat
20	9	0.00583302952971196	antenna	9	heat
21	9	-0.00510390083849804	antenna	9	heat
22	9	-0.010572366022603	antenna	9	heat
23	9	-0.0114837768866205	antenna	9	heat
24	9	-0.0133065986146555	antenna	9	heat
25	9	-0.012395187750638	antenna	9	heat
26	9	-0.012395187750638	antenna	9	heat
27	9	-0.012395187750638	antenna	9	heat
28	9	-0.00966095515858554	antenna	9	heat
29	9	-0.010572366022603	antenna	9	heat
30	9	-0.00783813343055054	antenna	9	heat
31	9	-0.00601531170251554	antenna	9	heat
32	9	-0.00692672256653304	antenna	9	heat
33	9	-0.00419248997448054	antenna	9	heat
34	9	-0.00328107911046304	antenna	9	heat
35	9	-0.00328107911046304	antenna	9	heat
36	9	-0.00145825738242804	antenna	9	heat
37	9	-0.00145825738242804	antenna	9	heat
38	9	3.64564345606959e-4	antenna	9	heat
39	9	3.64564345606959e-4	antenna	9	heat
40	9	-5.4684651841054e-4	antenna	9	heat
0	10	-0.00654366015876421	antenna	9	heat
1	10	-0.0054709289851963	antenna	9	heat
2	10	-0.0043981978116284	antenna	9	heat
3	10	-0.00171636987770864	antenna	9	heat
4	10	-1.07273117356779e-4	antenna	9	heat
5	10	-0.00278910105127654	antenna	9	heat
6	10	0.00311092040334688	antenna	9	heat
7	10	0.0154473288993778	antenna	9	heat
8	10	0.0218837159407852	antenna	9	heat
9	10	0.035292855610384	antenna	9	heat
10	10	0.0374383179575198	antenna	9	heat
11	10	0.0449474361724952	antenna	9	heat
12	10	0.0567474790817421	antenna	9	heat
13	10	0.046556532932847	antenna	9	heat
14	10	0.0363655867839519	antenna	9	heat
15	10	0.0299291997425445	antenna	9	heat
16	10	0.0192018880068654	antenna	9	heat
17	10	0.0181291568332975	antenna	9	heat
18	10	0.0192018880068654	antenna	9	heat
19	10	0.0192018880068654	antenna	9	heat
20	10	0.0229564471143531	antenna	9	heat
21	10	0.0084745762711864	antenna	9	heat
22	10	0.0111564042051062	antenna	9	heat
23	10	0.0208109847672173	antenna	9	heat
24	10	0.0256382750482729	antenna	9	heat
25	10	0.0256382750482729	antenna	9	heat
26	10	0.0251019094614889	antenna	9	heat
27	10	0.0283201029821926	antenna	9	heat
28	10	0.0261746406350568	antenna	9	heat
29	10	0.0320746620896803	antenna	9	heat
30	10	0.0283201029821926	antenna	9	heat
31	10	0.0272473718086247	antenna	9	heat
32	10	0.0288564685689766	antenna	9	heat
33	10	0.0293928341557605	antenna	9	heat
34	10	0.0293928341557605	antenna	9	heat
35	10	0.0293928341557605	antenna	9	heat
36	10	0.0288564685689766	antenna	9	heat
37	10	0.024565543874705	antenna	9	heat
38	10	0.0277837373954087	antenna	9	heat
39	10	0.024029178287921	antenna	9	heat
40	10	0.0251019094614889	antenna	9	heat
0	11	-0.0071207430340557	antenna	9	heat
1	11	-0.00588235294117644	antenna	9	heat
2	11	-0.00773993808049533	antenna	9	heat
3	11	-0.00773993808049533	antenna	9	heat
4	11	-0.0071207430340557	antenna	9	heat
5	11	-0.00650154798761607	antenna	9	heat
6	11	-0.0071207430340557	antenna	9	heat
7	11	-0.00897832817337459	antenna	9	heat
8	11	-0.00835913312693496	antenna	9	heat
9	11	-0.0108359133126935	antenna	9	heat
10	11	-0.00959752321981422	antenna	9	heat
11	11	-0.00340557275541793	antenna	9	heat
12	11	0.0256965944272446	antenna	9	heat
13	11	0.0250773993808049	antenna	9	heat
14	11	0.0318885448916409	antenna	9	heat
15	11	0.0356037151702786	antenna	9	heat
16	11	0.0362229102167183	antenna	9	heat
17	11	0.0455108359133127	antenna	9	heat
18	11	0.0510835913312694	antenna	9	heat
19	11	0.0541795665634675	antenna	9	heat
20	11	0.0585139318885449	antenna	9	heat
21	11	0.013312693498452	antenna	9	heat
22	11	0.0151702786377709	antenna	9	heat
23	11	0.0071207430340557	antenna	9	heat
24	11	0.00773993808049533	antenna	9	heat
25	11	0.00650154798761607	antenna	9	heat
26	11	0.00402476780185755	antenna	9	heat
27	11	0.00464396284829718	antenna	9	heat
28	11	0.00402476780185755	antenna	9	heat
29	11	0.00526315789473681	antenna	9	heat
30	11	0.00278637770897837	antenna	9	heat
31	11	0.00278637770897837	antenna	9	heat
32	11	-3.0959752321978e-4	antenna	9	heat
33	11	0.00340557275541793	antenna	9	heat
34	11	-9.28792569659409e-4	antenna	9	heat
35	11	0.00216718266253874	antenna	9	heat
36	11	3.09597523219849e-4	antenna	9	heat
37	11	3.09597523219849e-4	antenna	9	heat
38	11	-0.0027863777089783	antenna	9	heat
39	11	-0.00216718266253867	antenna	9	heat
40	11	-0.00402476780185755	antenna	9	heat
0	12	-0.0219658853847098	antenna	9	heat
1	12	-0.0219658853847098	antenna	9	heat
2	12	-0.0207387409498098	antenna	9	heat
3	12	-0.0182844520800098	antenna	9	heat
4	12	-0.0195115965149098	antenna	9	heat
5	12	-0.0158301632102099	antenna	9	heat
6	12	-0.0146030187753099	antenna	9	heat
7	12	-0.0231930298196098	antenna	9	heat
8	12	-0.0219658853847098	antenna	9	heat
9	12	-0.0195115965149098	antenna	9	heat
10	12	-0.0182844520800098	antenna	9	heat
11	12	-0.0158301632102099	antenna	9	heat
12	12	-0.00355871886120998	antenna	9	heat
13	12	0.0467542029696894	antenna	9	heat
14	12	0.0442999140998894	antenna	9	heat
15	12	0.0528899251441894	antenna	9	heat
16	12	0.0565713584488893	antenna	9	heat
17	12	0.0479813474045894	antenna	9	heat
18	12	0.0528899251441894	antenna	9	heat
19	12	0.0590256473186893	antenna	9	heat
20	12	-0.0256473186894098	antenna	9	heat
21	12	-0.0231930298196098	antenna	9	heat
22	12	-0.0244201742545098	antenna	9	heat
23	12	-0.0182844520800098	antenna	9	heat
24	12	-0.0109215854706099	antenna	9	heat
25	12	-0.00478586329610997	antenna	9	heat
26	12	-0.00355871886120998	antenna	9	heat
27	12	-0.00233157442631013	antenna	9	heat
28	12	0.0050312921830898	antenna	9	heat
29	12	1.22714443489849e-4	antenna	9	heat
30	12	0.00380414774818982	antenna	9	heat
31	12	0.00625843661798979	antenna	9	heat
32	12	0.00748558105288978	antenna	9	heat
33	12	0.00748558105288978	antenna	9	heat
34	12	0.0111670143575897	antenna	9	heat
35	12	0.0123941587924897	antenna	9	heat
36	12	0.00993986992268976	antenna	9	heat
37	12	0.00993986992268976	antenna	9	heat
38	12	0.0160755920971897	antenna	9	heat
39	12	0.0136213032273897	antenna	9	heat
40	12	0.0173027365320897	antenna	9	heat
0	13	0.00377453447408145	antenna	9	heat
1	13	0.0118268746854554	antenna	9	heat
2	13	0.0123301459486663	antenna	9	heat
3	13	0.0128334172118771	antenna	9	heat
4	13	0.0148465022647206	antenna	9	heat
5	13	0.0183694011071968	antenna	9	heat
6	13	0.017362858580775	antenna	9	heat
7	13	0.0234021137393055	antenna	9	heat
8	13	0.0244086562657272	antenna	9	heat
9	13	0.0324609964771012	antenna	9	heat
10	13	0.0390035228988424	antenna	9	heat
11	13	0.048565676899849	antenna	9	heat
12	13	0.0385002516356316	antenna	9	heat
13	13	0.0299446401610467	antenna	9	heat
14	13	0.0234021137393055	antenna	9	heat
15	13	0.0168595873175641	antenna	9	heat
16	13	0.00780070457976842	antenna	9	heat
17	13	0.021389028686462	antenna	9	heat
18	13	0.0239053850025163	antenna	9	heat
19	13	0.0264217413185707	antenna	9	heat
20	13	0.0188726723704076	antenna	9	heat
21	13	0.0128334172118771	antenna	9	heat
22	13	0.0319577252138902	antenna	9	heat
23	13	0.0425264217413186	antenna	9	heat
24	13	0.0551082033215903	antenna	9	heat
25	13	0.0631605435329642	antenna	9	heat
26	13	0.0631605435329642	antenna	9	heat
27	13	0.0697030699547055	antenna	9	heat
28	13	0.0686965274282838	antenna	9	heat
29	13	0.0697030699547055	antenna	9	heat
30	13	0.067689984901862	antenna	9	heat
31	13	0.0697030699547055	antenna	9	heat
32	13	0.067689984901862	antenna	9	heat
33	13	0.0702063412179164	antenna	9	heat
34	13	0.0671867136386512	antenna	9	heat
35	13	0.0681932561650729	antenna	9	heat
36	13	0.0656768998490186	antenna	9	heat
37	13	0.0656768998490186	antenna	9	heat
38	13	0.0661801711122295	antenna	9	heat
39	13	0.0606441872169099	antenna	9	heat
40	13	0.0631605435329642	antenna	9	heat
0	14	0.0106668906433731	antenna	9	heat
1	14	0.00982697799428863	antenna	9	heat
2	14	0.0131866285906266	antenna	9	heat
3	14	0.0131866285906266	antenna	9	heat
4	14	0.0148664538887956	antenna	9	heat
5	14	0.0140265412397111	antenna	9	heat
6	14	0.0182261044851336	antenna	9	heat
7	14	0.0173861918360491	antenna	9	heat
8	14	0.0207458424323871	antenna	9	heat
9	14	0.0215857550814716	antenna	9	heat
10	14	0.0207458424323871	antenna	9	heat
11	14	0.0283050562741475	antenna	9	heat
12	14	0.0610616495884429	antenna	9	heat
13	14	0.0728204266756258	antenna	9	heat
14	14	0.0828993784646397	antenna	9	heat
15	14	0.0904585923064002	antenna	9	heat
16	14	0.0929783302536537	antenna	9	heat
17	14	0.0946581555518226	antenna	9	heat
18	14	0.0954980682009071	antenna	9	heat
19	14	0.0929783302536537	antenna	9	heat
20	14	0.0870989417100622	antenna	9	heat
21	14	0.034184444817739	antenna	9	heat
22	14	0.0215857550814716	antenna	9	heat
23	14	0.0165462791869646	antenna	9	heat
24	14	0.00982697799428863	antenna	9	heat
25	14	0.00982697799428863	antenna	9	heat
26	14	0.00814715269611964	antenna	9	heat
27	14	0.00730724004703514	antenna	9	heat
28	14	0.00814715269611964	antenna	9	heat
29	14	0.00982697799428863	antenna	9	heat
30	14	0.00898706534520414	antenna	9	heat
31	14	0.00898706534520414	antenna	9	heat
32	14	0.00982697799428863	antenna	9	heat
33	14	0.0115068032924576	antenna	9	heat
34	14	0.0115068032924576	antenna	9	heat
35	14	0.00730724004703514	antenna	9	heat
36	14	0.00730724004703514	antenna	9	heat
37	14	0.00814715269611964	antenna	9	heat
38	14	0.00730724004703514	antenna	9	heat
39	14	0.00478750209978166	antenna	9	heat
40	14	0.00814715269611964	antenna	9	heat
0	15	0.010123845095341	antenna	9	heat
1	15	0.0209357184981325	antenna	9	heat
2	15	0.0278160015726361	antenna	9	heat
3	15	0.0317475919009239	antenna	9	heat
4	15	0.0346962846471398	antenna	9	heat
5	15	0.0356791822292117	antenna	9	heat
6	15	0.0405936701395715	antenna	9	heat
7	15	0.0405936701395715	antenna	9	heat
8	15	0.0455081580499312	antenna	9	heat
9	15	0.048456850796147	antenna	9	heat
10	15	0.0474739532140751	antenna	9	heat
11	15	0.0573029290347945	antenna	9	heat
12	15	0.101533320228032	antenna	9	heat
13	15	0.118242579123255	antenna	9	heat
14	15	0.127088657361903	antenna	9	heat
15	15	0.130037350108119	antenna	9	heat
16	15	0.131020247690191	antenna	9	heat
17	15	0.136917633182622	antenna	9	heat
18	15	0.132003145272263	antenna	9	heat
19	15	0.139866325928838	antenna	9	heat
20	15	0.13593473560055	antenna	9	heat
21	15	0.0887556516610968	antenna	9	heat
22	15	0.085806958914881007	antenna	9	heat
23	15	0.0838411637507371	antenna	9	heat
24	15	0.0808924710045213	antenna	9	heat
25	15	0.0759779830941615	antenna	9	heat
26	15	0.0720463927658737	antenna	9	heat
27	15	0.0710634951838018	antenna	9	heat
28	15	0.0690977000196579	antenna	9	heat
29	15	0.0681148024375859	antenna	9	heat
30	15	0.066149007273442	antenna	9	heat
31	15	0.0651661096913701	antenna	9	heat
32	15	0.0641832121092981	antenna	9	heat
33	15	0.0612345193630823	antenna	9	heat
34	15	0.0573029290347945	antenna	9	heat
35	15	0.0592687241989384	antenna	9	heat
36	15	0.0553371338706506	antenna	9	heat
37	15	0.0563200314527225	antenna	9	heat
38	15	0.0533713387065067	antenna	9	heat
39	15	0.0543542362885786	antenna	9	heat
40	15	0.0563200314527225	antenna	9	heat
0	16	-0.0440732541758906	antenna	8	heat
1	16	-0.0400482994566312	antenna	8	heat
2	16	-0.0440732541758906	antenna	8	heat
3	16	-0.0511169249345946	antenna	8	heat
