pelt_temp_step	heatseek	group
36	29.96187486	ir76b_6132_ko
38.5	27.18098228	ir76b_6132_ko
40	21.95559542	ir76b_6132_ko
45	6.34671451	ir76b_6132_ko
50	4.193765418	ir76b_6132_ko
55	2.377214622	ir76b_6132_ko
60	0.583090379	ir76b_6132_ko
26	0	ir76b_6132_ko
28.5	17.22359273	ir76b_6132_ko
31	29.87216865	ir76b_6132_ko
33.5	40.86117964	ir76b_6132_ko
36	44.85310608	ir76b_6132_ko
38.5	47.83583763	ir76b_6132_ko
40	49.27113703	ir76b_6132_ko
45	42.65530388	ir76b_6132_ko
50	19.21955595	ir76b_6132_ko
55	9.351872617	ir76b_6132_ko
60	9.284592958	ir76b_6132_ko
26	0	ir76b_6132_ko
28.5	4.052197802	ir76b_6132_ko
31	5.013736264	ir76b_6132_ko
33.5	14.37728938	ir76b_6132_ko
36	20.6043956	ir76b_6132_ko
38.5	25.89285714	ir76b_6132_ko
40	31.34157509	ir76b_6132_ko
45	21.42857143	ir76b_6132_ko
50	8.882783883	ir76b_6132_ko
55	5.242673993	ir76b_6132_ko
60	2.014652015	ir76b_6132_ko
26	1.824175824	ir76b_6132_ko
28.5	6.197802198	ir76b_6132_ko
31	16.30769231	ir76b_6132_ko
33.5	23.56043956	ir76b_6132_ko
36	35.01098901	ir76b_6132_ko
38.5	34.37362637	ir76b_6132_ko
40	37.89010989	ir76b_6132_ko
45	24	ir76b_6132_ko
50	9.164835165	ir76b_6132_ko
55	5.186813187	ir76b_6132_ko
60	1.362637363	ir76b_6132_ko
